tweets,time,hashtags
@adorecher2 @xannalenakx Yes..,2020-01-13 20:13:39,[]
"@Rockthekazzbah @MichaelJStern1 @AlwaysThinkHow @YahooEnt Don’t Know What 2 Think About
2020.They’re Criminals &amp; We’re
Entrenched In”Opposing Ideologies”.We’re Not Picking Prom👑,Or Hottest Guy On Campus.WE’RE CHOOSING
🇺🇸PRES.2 LEAD US FROM  CHAOS‼️ONLY”ONE”THING MATTERS.WHO CAN BEAT trump IN THE GENERAL‼️trump=💋FREEDOM GOOD BYE",2020-01-13 20:11:33,[]
RT @Rockthekazzbah: @MichaelJStern1 @cher @AlwaysThinkHow @YahooEnt Yes sadly they did. Statesmen provide leadership. Businessman (or in yo…,2020-01-13 07:54:47,[]
"Trump Brags About Serving Up American Troops to Saudi Arabia for Nothing More Than Cash.
HOW CAN trump PUT 
LIVES OF OUR TROOPS IN  DANGER TO PROTECT SAUDI ARABIAN”OIL”⁉️YOU CAN BET 
trump &amp; HENCHMEN TAKE CUT OFF THE TOP.TROOPS WONT SEE ANY.trump’s SCUM
 https://t.co/Pd35KBBYcQ",2020-01-13 07:30:31,[]
RT @MichaelJStern1: @cher @AlwaysThinkHow @YahooEnt Trump selling American's lives to Saudi Arabia.  How can that be explained to the men a…,2020-01-13 06:56:21,[]
Trump Brags About Serving Up American Troops to Saudi Arabia for Nothing More Than Cash https://t.co/AEDTi8LXzm via @YahooEnt,2020-01-13 04:42:18,[]
"@10peeps3 These are more than I can Bear.
This is The Answer
This Is The ONLY ANSWER 🙏🏻
Why Can’t People See😥",2020-01-13 04:38:33,[]
@MarenJacobson 💝💋🕊,2020-01-13 02:50:06,[]
"@Cjones554 @SinatraDino Have No Words To Take Away
Your Anger &amp;Feeling The Gov  Hasn’t Got Your Back.trump Doesn’t Understand Having ANYONES BACK. George Bush Started It With FAKE WMD,IN IRAQ BS‼️He Should Have Bombed Saudi Army…15 of 19 Who Killed Americans On 911 We’re Saudis.I Pray &amp; Send My💔",2020-01-13 02:48:49,[]
"@AlohaJJ96815 If I Twt What I’m Feeling in my heart 24-7 It Would Make It Hard 2 Fight,&amp; FIGHT WE MUST‼️I Know Politics Makes Most Of You Uneasy,Sad,Afraid,BUT EVERYONE MUST GET INVOLVED NOW‼️Know I Cant Overwhelm With Trump.I Try 2Make You Laugh,But It Will B Harder 2 B Funny All The Time",2020-01-13 02:31:36,[]
"@audubon3514 🎼God On High,Hear My Prayer.
In My Need..You Have Always Been There.They Were Young,
Not Afraid,Let Them Rest,
Heaven Blessed,
Bring Them Home
Bring Them Home,
Bring Them Home💔

Song From Les Miserables.
I Changed Some Lyrics. IM HEARTBROKEN FOR TROOPS &amp; SICK OF ENDLESS WAR",2020-01-13 02:09:56,[]
"@issa_nellyworld OK…. He Looks Like Reptile, One Toke Over The Line.
Ps Little🍊Coming Off The Nose.
Pss &amp; Whats With The Sniffing https://t.co/vFYBOevKGO",2020-01-13 01:52:41,[]
"2 U.S.Troops Killed By Taliban Bomb In Southern Afghanistan : NPR.THESE R SAME TALIBAN trump SAID HE’D MAKE GREAT DEAL WITH.SAID PRESIDENTS  GOT US IN2 ENDLESS WARS IN MIDDLE EAST,&amp; HE’D BRING TROOPS HOME.SAID OBAMA WOULD START WAR WITH IRAN.trumps DEADLY
 https://t.co/jYtGOc3xxB",2020-01-13 01:39:51,[]
@NoraV55460857 🙏🏻📜👍🏻,2020-01-12 22:59:54,[]
@zoedevon16 💋,2020-01-12 22:58:20,[]
@cherslcve I DONT KNOW…ITS NOT OVER YET⁉️,2020-01-12 22:57:28,[]
"@BaranskiAnd GORGEOUS,FUNNY,KIND💋",2020-01-12 22:56:18,[]
@irishfanofcher 💋🎂♥️,2020-01-12 22:55:13,[]
@babyimcherss 🥰🎂🕊,2020-01-12 22:54:42,[]
"@shessounusual2 Clean out Ur closet WITH A FRIEND Or MUSIC Or OLD MOVIE WHILE U WORK.IF WORRY HELPED,ID SAY DRAW DRAPES,CROUCH IN A CORNER,WRING YOUR HANDS
&amp; SOB. IT DOESN’T HELP,
(IVE TRIED) YOU WANT IT, NEED IT BUT…
“WHAT BELONGS TO YOU COMES TO YOU”.
CANT REMEMBER WHEN I SAID IT,BUT ITS TRUE https://t.co/kagjGH04FU",2020-01-12 22:38:18,[]
"@djayyy7 @BetteMidler @robreiner @Alyssa_Milano @LAFoodBank I’m Down for FOOD BANK.
Send Info Babe.
Bette you’re like Bette Davis &amp;
John Garfield When They Opened The
“HOLLYWOOD CANTEEN”
That was during another war",2020-01-12 19:10:15,[]
"@TheCheapGourmet Ps. NEVER WAS,&amp; NEVER WILL BE “MY PRESIDENT”‼️
I’D RATHER CHEW GLASS,
THAN LOOK HIM IN HIS HORRIFYING,ALLIGATOR EYES https://t.co/AYnZgPrlhr",2020-01-12 19:02:55,[]
"@TheCheapGourmet trump’s ELITIST AS THEY COME. Trump TOWERS,PRIVATE CLUBS,PLANE,YACHT,BRAGGINBOUT BILLIONS,HANGING WITH PEDO FRNDS,&amp; U TURN BLIND👁2 HIS LIES,CRIMES,USE OF PRES.POWER 4 PERSONAL 💰GAIN,ACTS OF VENGEANCE, STOOGING 4 PUTIN,OR ANY ENEMY OF🇺🇸WHO’LL MAKE HIM”👑trump THE 1ST”",2020-01-12 18:52:47,[]
@Jayne071710041 🙌🏻,2020-01-12 10:28:56,[]
"Son &amp; Me In Rome Going To See The Pope.I Had To Buy Dress,
Because I Didn’t Have One.
Oh… Son Had To Buy a Suit😉
He Looked Handsome https://t.co/FiqwnV1SMB",2020-01-12 10:27:30,[]
"B4 I Met Son I Was⚽️🏀2 The Wall16.He Took Care Of Me, Made Me Famous,But At Some Point That”Other Part”Of Me Was Lost.I Didn’t”FIGHT”4 It.
WOMEN MUST FIGHT.FIGHT
2 SAVE🇺🇸FROM trump.HE’S DONE IRREPARABLE DAMAGE 2🇺🇸&amp; I 🙏🏻WE CAN SURVIVE HIM.HE DESIRES ONLY💰POWER,VENGEANCE",2020-01-12 09:51:55,[]
"@CherMakesScents Didn’t say wouldn’t vote
4 Democrat.Tried To make
Point.Billionaires Who Know NOTHING ABOUT RESCUING AMERICA FROM trump’s CHAOS,&amp; NEW WAR IN MIDDLE EAST, CANT JUST BUY🇺🇸.Their Are Candidates Working HARD,2 EARN VOTES. This Is Why I Didn’t Want 2 give OPINION.I wont do it again",2020-01-10 18:11:01,[]
